"ID","CustomerID","AddressID","Status","PaymentMethod","Weight","Shipped","TrackingNumber","DateShipped","TimeShipped"
1,867,727,"PENDING","OTHER",42.7,1,"28781964778089755462","2018-05-01","5:12:10.000"
2,897,660,"OPEN","OTHER",46.6,0,"59802407026617644697",,
3,791,290,"CLOSED","OTHER",72.3,1,"66383454975015714871","2018-05-19","9:49:54.000"
4,978,349,"CANCELLED","CHECK",37.5,1,"71034727065408953146","2018-06-15","20:55:44.000"
5,470,936,"PENDING","OTHER",47.7,1,"41619729241662306946","2018-01-16","13:13:19.000"
6,347,82,"CLOSED","OTHER",67.2,1,"12200836239290974095","2018-05-05","10:41:20.000"
7,770,124,,"OTHER",56.7,0,"70841573638964198120",,
8,631,867,"CLOSED","CHECK",39.7,1,"92109044458532091144","2018-02-20","10:51:23.000"
9,878,359,"PENDING","CASH",15.6,0,"14458250685688068349",,
10,985,451,,,79.8,1,"99892803206633824241","2018-02-12","14:22:34.000"
11,264,148,"CLOSED","OTHER",38.9,1,"29751007108997539916","2017-10-21","16:32:06.000"
12,638,232,"OPEN","VISA",43.8,1,"92668138508222956218","2018-03-11","17:35:20.000"
13,262,978,"PENDING","CASH",42.6,1,"80379824031517338044","2017-10-26","14:04:07.000"
14,317,143,,"CHECK",87.1,1,"95323109188509097003","2018-01-30","19:45:29.000"
15,461,937,"PENDING","OTHER",24.6,0,"66452816297419241286",,
16,156,573,"PENDING","OTHER",93.2,0,"88542186341272369970",,
17,232,644,,"CHECK",95.6,0,"10002366436944872276",,
18,111,111,,"OTHER",13.5,1,"44113464516422931536","2017-11-07","16:33:29.000"
19,652,278,"CANCELLED","CASH",68.2,1,"12137210658495326517","2018-04-15","6:00:47.000"
20,645,310,,"OTHER",2.9,1,"37324801472682765591","2018-07-29","2:51:44.000"
21,179,122,"OPEN","OTHER",24.2,0,"88344262515603172955",,
22,945,827,,"CASH",68.2,0,"37012993254247325976",,
23,411,371,"OPEN","VISA",1.6,0,"79873232792727429468",,
24,911,902,"OPEN","CASH",56.3,1,"97719688747262717536","2017-12-02","19:42:20.000"
25,468,946,"CANCELLED",,70.8,1,"47242933011998156319","2017-10-01","4:21:28.000"
26,615,565,"OPEN","VISA",76.2,1,"75429339298870084058","2017-11-16","0:49:06.000"
27,53,382,"OPEN","CASH",91.2,1,"45269825359078701788","2017-12-19","7:51:31.000"
28,476,634,"CANCELLED","OTHER",98.8,1,"19310972165458081551","2017-10-23","5:08:45.000"
29,739,661,"PENDING",,84.7,0,"64700130825170617090",,
30,882,216,,"OTHER",80,0,"27881217713440715339",,
31,838,132,"PENDING",,4.1,0,"12085804596686551004",,
32,892,818,"CANCELLED","CHECK",57.3,1,"53442961531940127690","2018-04-16","21:33:17.000"
33,763,29,,"CASH",41.2,1,"35164114179336474135","2018-07-14","8:43:56.000"
34,87,711,"PENDING","VISA",67.9,0,"74678931693008474541",,
35,681,727,,"OTHER",79,1,"25282658919700125813","2018-01-26","2:55:06.000"
36,672,119,,"CASH",84.9,1,"86015232562938708989","2018-03-16","7:12:56.000"
37,919,599,"CANCELLED",,41.8,1,"92682879533443215537","2017-12-01","16:04:13.000"
38,656,560,"PENDING","CASH",40.7,1,"13574300509299689323","2017-12-25","6:07:20.000"
39,517,499,"OPEN","OTHER",29.4,0,"15922299108369619740",,
40,349,876,"OPEN","CASH",84.1,0,"35531589804201269760",,
41,876,298,"OPEN","OTHER",10.2,0,"16437750383326436681",,
42,123,425,"CLOSED","CHECK",18.8,1,"63766156362670128475","2018-04-08","10:28:29.000"
43,608,634,,"VISA",1.4,0,"40415971786766845572",,
44,452,883,"OPEN","OTHER",71.9,1,"18246820955955920244","2018-03-07","14:21:28.000"
45,439,279,"OPEN","VISA",74.1,1,"90019953196191962228","2018-04-27","23:44:33.000"
46,917,977,,"CASH",77.2,0,"17796161618983063088",,
47,340,574,"OPEN",,53.1,1,"39853102509642389842","2017-11-17","8:09:13.000"
48,841,976,"PENDING","OTHER",44.6,0,"87310616788299235783",,
49,355,245,"PENDING","OTHER",11.3,1,"56624033487834621146","2018-03-26","5:20:19.000"
50,140,664,"OPEN",,57.8,0,"72848748997432134617",,
51,197,333,"PENDING","VISA",8.6,1,"80271826237417692126","2017-12-21","16:22:40.000"
52,718,219,"PENDING","CHECK",25.8,0,"75219205474247451302",,
