ID,CustomerID,AddressID,Status,PaymentMethod,Weight,Shipped,TrackingNumber,DateShipped,TimeShipped
1,212,97,RETURNED,CHECK,48.99,1,46019E4EBEC47A30B489CEAAEEB258BD65897374365,2018-05-09,06:59:15.714Z
2,173,201,OPEN,CREDITCARD,,0,,,
3,259,115,PENDING,CHECK,,0,,,
4,604,466,OPEN,GIFTCARD,,0,,,
5,766,509,OPEN,CREDITCARD,,0,,,
6,147,643,COMPLETE,GIFTCARD,88.24,1,700076DDBDBAF881F9599188BBB9A97EA6AC3,2018-01-29,02:57:20.860Z
7,81,350,SHIPPING,GIFTCARD,85.28,0,,,
8,254,588,PENDING,CREDITCARD,,0,,,
9,616,343,SHIPPING,CHECK,35.17,0,,,
10,805,319,OPEN,CREDITCARD,,0,,,
11,477,29,COMPLETE,CHECK,52.71,1,73098EB033395EEFE678E7E60732673CB08EC1374433D947B,2017-12-30,05:04:05.823Z
12,692,446,SHIPPING,GIFTCARD,80.41,0,,,
13,394,888,OPEN,CHECK,,0,,,
14,303,681,PENDING,CHECK,,0,,,
15,42,632,COMPLETE,CASH,55.63,1,27781202C9121F58B9E0B66E4C8A55AB0E92BDA9CB8FEAB8F5528AA,2018-08-22,01:43:29.562Z
16,505,726,COMPLETE,CREDITCARD,86.9,1,98953889B3487AB46F0C1C702827053839E7CC0870C4DC14F75345F667C,2017-10-31,19:35:43.823Z
17,385,417,COMPLETE,CHECK,16.24,1,661110D240E539765983DFB16252102534C490AAE429F316A396462C4E3EA37C5E4,2017-09-04,23:28:06.756Z
18,624,27,COMPLETE,CASH,21.22,1,,2018-10-16,16:54:21.092Z
19,897,604,OPEN,CHECK,,0,,,
20,954,93,RETURNED,CASH,16.87,1,256293733404B4BE78B6C187CB28050597D4A1A95198C,2018-09-23,10:07:32.375Z
21,350,763,SHIPPING,CREDITCARD,72,0,,,
22,701,387,COMPLETE,CREDITCARD,60.19,1,4024502B44125FF10E0B3B9D2FEB6E240EDDDE158,2018-10-24,06:13:56.014Z
23,158,301,PENDING,CASH,,0,,,
24,419,5,OPEN,CREDITCARD,,0,,,
25,275,29,SHIPPING,CASH,63.96,0,,,
26,571,169,COMPLETE,CASH,81.74,1,154917B059192CA42FA0D58102F1C3A9FFB07,2018-05-17,19:04:57.664Z
27,49,427,COMPLETE,CASH,31.13,1,325570FB762166622D11551085539FA5D48E82639D52AF4F92ED5BD786DA161BB,2018-04-13,17:18:49.330Z
28,973,425,OPEN,CHECK,,0,,,
29,488,460,PENDING,CHECK,,0,,,
30,980,788,OPEN,CREDITCARD,,0,,,
31,689,971,CANCELLED,CASH,,0,,,
32,98,645,OPEN,CHECK,,0,,,
33,956,996,PENDING,GIFTCARD,,0,,,
34,458,605,SHIPPING,CHECK,96.94,0,,,
35,364,152,OPEN,CREDITCARD,,0,,,
36,352,645,SHIPPING,CHECK,78.41,0,,,
37,181,258,SHIPPING,GIFTCARD,94.79,0,,,
38,863,98,OPEN,GIFTCARD,,0,,,
39,223,394,SHIPPING,CHECK,49.58,0,,,
40,517,418,OPEN,CHECK,,0,,,
41,991,201,OPEN,CREDITCARD,,0,,,
42,767,322,OPEN,CASH,,0,,,
43,302,718,OPEN,GIFTCARD,,0,,,
