OrderID,ProductID,Quantity,UnitCost,UnitPrice,TotalCost,TotalPrice
2241,41,10,9.06,10,90.6,100
1681,317,3,56.08,114.53,168.24,343.59
2398,117,2,98.02,144.99,196.04,289.98
1056,921,11,87.12,91,958.32,1001
201,230,11,87.35,95,960.85,1045
1305,571,5,6.42,10.99,32.1,54.95
104,522,4,71.33,79.99,285.32,319.96
2497,708,11,66.46,130.99,731.06,1440.89
1789,767,14,58.8,104,823.2,1456
422,22,13,83.64,111,1087.32,1443
726,753,13,2.7,3.99,35.1,51.87
2924,323,6,65.9,70,395.4,420
1725,517,7,38.74,49.99,271.18,349.93
2544,172,13,80,121,1040,1573
724,587,9,54.67,55.99,492.03,503.91
593,627,3,77.23,132.99,231.69,398.97
683,820,7,48.77,53.99,341.39,377.93
1249,578,9,44.04,48,396.36,432
2869,218,4,55.91,91.99,223.64,367.96
1783,648,8,66.95,104,535.6,832
1789,976,4,9.95,18,39.8,72
1656,469,8,25.11,25.99,200.88,207.92
2560,650,7,71.11,105,497.77,735
1100,669,12,32.49,67.14,389.88,805.68
1078,338,6,11.4,21,68.4,126
1312,853,8,4.98,8.3,39.84,66.4
2739,305,1,43.56,48,43.56,48
2410,153,2,33.14,36,66.28,72
2784,479,14,17.55,21,245.7,294
1246,760,14,88.51,146.71,1239.14,2053.94
106,339,1,17.13,43.27,17.13,43.27
966,872,7,38.37,50.99,268.59,356.93
112,464,14,2.11,4.05,29.54,56.7
826,644,5,67.82,107.99,339.1,539.95
1900,974,5,78.5,160.08,392.5,800.4
2007,870,12,78.76,93.99,945.12,1127.88
2991,285,7,5.52,7.99,38.64,55.93
700,761,14,38.86,120.86,544.04,1692.04
51,858,5,45.2,49.99,226,249.95
372,20,2,1.4,1.99,2.8,3.98
96,310,10,88.73,113.99,887.3,1139.9
1772,240,4,26.56,51,106.24,204
1894,790,4,89.39,101,357.56,404
391,150,6,10.71,14.99,64.26,89.94
662,688,14,38.72,47.99,542.08,671.86
2777,625,12,26.33,40.74,315.96,488.88
1458,51,10,98.47,173.99,984.7,1739.9
1182,760,13,88.51,100.99,1150.63,1312.87
1854,27,8,17.3,19,138.4,152
74,567,14,28.52,34.99,399.28,489.86
1002,679,6,15.6,22.99,93.6,137.94
2260,242,4,19.66,35.87,78.64,143.48
2149,822,11,57.18,59.99,628.98,659.89
1507,470,14,21.86,32,306.04,448
2021,699,8,74.37,79.99,594.96,639.92
1624,229,13,48.97,77,636.61,1001
1309,501,10,67.84,75,678.4,750
727,801,1,33.43,48.99,33.43,48.99
1189,511,11,67.13,96,738.43,1056
705,970,14,9.53,13.73,133.42,192.22
372,530,14,37.96,57.99,531.44,811.86
1535,113,7,12.76,17.99,89.32,125.93
