ID,Name,ScanCode,Cost,Price,ImageURL,DateCreated,DateUpdated,DateDeleted
1,"Blackcurrant, Razzle Dazzle Rose (Extra)",38D9621128721DE26C72705546FC05D168337BA17CA2,20.56,38.99,,1465358420583,,
2,"Intuniv, Red Orange",6AE30304FCD570E3C7D6267C7CF24038A4646E3A76,39.08,65.99,,1449721922727,,
3,"Wristwatch, Orange",79EEC512FB3FB9721BE7971CD788ADB8A4094348FE0B3E18A9AA2DB4D70EF12426D1,38.23,66.99,,1476597371792,,
4,"Box Of Q-tips, Melon (Extra)",03DAF1F521171C5B8167AE9A4D52C48FE91EAED078455B8C53643ABEC1A3DC0B71782CF511,67.4,94.99,,1446054150417,,
5,"Epinephrine, Goldenrod",4E44AF48DE5E0F07F89281D531D4D2D110444C82A263A14EAC94E0ABB94BBF6A918D6746F84DFEE800,43.98,64,http://placekitten.com/200/200?scanCode=4E44AF48DE5E0F07F89281D531D4D2D110444C82A263A14EAC94E0ABB94BBF6A918D6746F84DFEE800,1462710340487,,
6,Mecasermin (X3),C46B5DCDA87D7BE8C2402241677EA5752BF178EB87230D1902A1DB5B204FEF53D8B3580866377DEBA3,43.65,52.99,,1459224587106,1496392077071,
7,Wild Blue Yonder Okra,3B96341A5ACF4448F040A345A2D620234915C91DA581991411CDF3975B9D98323AE255CC860C2E1AFE31733E,47.34,54.99,,1459815524482,1499068233100,
8,Pacific Blue Amantadine Hydrochloride,4CE18A398BB19CE6A9D000346A910C3DDF055AA34CBF9A72320BD4DCBC5EF684,51.55,54,,1456680504652,1469832671929,1513212657130
9,Brick Red Peony (Huge),12B7C8DADD54D5C231B23FCD458CF846C38D14064EFF6135AFD77CEDA349C86EF0D6175741DCA6C05F,94.08,139.99,http://placekitten.com/200/200?scanCode=12B7C8DADD54D5C231B23FCD458CF846C38D14064EFF6135AFD77CEDA349C86EF0D6175741DCA6C05F,1474846467564,1478541482710,
10,"Large Hyalgan, Yellow",BD2AF5C3355B812D1396DDA66C368FAF55DA597B,54.96,68.99,,1448769879352,,
